三明市清流县公安局	福建省三明市清流县
牡丹江市爱民区公安局	黑龙江省牡丹江市爱民区
牡丹江市穆棱市公安局	黑龙江省牡丹江市穆棱市
牡丹江市海林市公安局	黑龙江省牡丹江市海林市
牡丹江市牡丹江经济技术开发区公安局	黑龙江省牡丹江市牡丹江经济技术开发区
牡丹江市西安区公安局	黑龙江省牡丹江市西安区
牡丹江市东宁市公安局	黑龙江省牡丹江市东宁市
牡丹江市东安区公安局	黑龙江省牡丹江市东安区
牡丹江市宁安市公安局	黑龙江省牡丹江市宁安市
牡丹江市阳明区公安局	黑龙江省牡丹江市阳明区
绥化市绥棱县公安局	黑龙江省绥化市绥棱县
绥化市北林区公安局	黑龙江省绥化市北林区
绥化市兰西县公安局	黑龙江省绥化市兰西县
绥化市青冈县公安局	黑龙江省绥化市青冈县
绥化市庆安县公安局	黑龙江省绥化市庆安县
绥化市安达市公安局	黑龙江省绥化市安达市
绥化市海伦市公安局	黑龙江省绥化市海伦市
绥化市望奎县公安局	黑龙江省绥化市望奎县
绥化市明水县公安局	黑龙江省绥化市明水县
绥化市肇东市公安局	黑龙江省绥化市肇东市
黑河市逊克县公安局	黑龙江省黑河市逊克县
黑河市孙吴县公安局	黑龙江省黑河市孙吴县
黑河市北安市公安局	黑龙江省黑河市北安市
黑河市嫩江县公安局	黑龙江省黑河市嫩江县
黑河市爱辉区公安局	黑龙江省黑河市爱辉区
黑河市五大连池市公安局	黑龙江省黑河市五大连池市
鹤岗市兴山区公安局	黑龙江省鹤岗市兴山区
鹤岗市兴安区公安局	黑龙江省鹤岗市兴安区
鹤岗市南山区公安局	黑龙江省鹤岗市南山区
鹤岗市工农区公安局	黑龙江省鹤岗市工农区
鹤岗市绥滨县公安局	黑龙江省鹤岗市绥滨县
鹤岗市向阳区公安局	黑龙江省鹤岗市向阳区
鹤岗市东山区公安局	黑龙江省鹤岗市东山区
鹤岗市萝北县公安局	黑龙江省鹤岗市萝北县
吴忠市红寺堡区公安局	宁夏回族自治区吴忠市红寺堡区
石嘴山市大武口区公安局	宁夏回族自治区石嘴山市大武口区
石嘴山市平罗县公安局	宁夏回族自治区石嘴山市平罗县
石嘴山市惠农区公安局	宁夏回族自治区石嘴山市惠农区
中卫市沙坡头区公安局	宁夏回族自治区中卫市沙坡头区
中卫市中宁县公安局	宁夏回族自治区中卫市中宁县
中卫市海原县公安局	宁夏回族自治区中卫市海原县
银川市西夏区公安局	宁夏回族自治区银川市西夏区
银川市贺兰县公安局	宁夏回族自治区银川市贺兰县
银川市灵武市公安局	宁夏回族自治区银川市灵武市
银川市兴庆区公安局	宁夏回族自治区银川市兴庆区
银川市永宁县公安局	宁夏回族自治区银川市永宁县
银川市金凤区公安局	宁夏回族自治区银川市金凤区
昌吉回族自治州呼图壁县公安局	新疆维吾尔自治区昌吉回族自治州呼图壁县
昌吉回族自治州昌吉市公安局	新疆维吾尔自治区昌吉回族自治州昌吉市
昌吉回族自治州吉木萨尔县公安局	新疆维吾尔自治区昌吉回族自治州吉木萨尔县
昌吉回族自治州奇台县公安局	新疆维吾尔自治区昌吉回族自治州奇台县
昌吉回族自治州玛纳斯县公安局	新疆维吾尔自治区昌吉回族自治州玛纳斯县
昌吉回族自治州阜康市公安局	新疆维吾尔自治区昌吉回族自治州阜康市
昌吉回族自治州木垒哈萨克自治县公安局	新疆维吾尔自治区昌吉回族自治州木垒哈萨克自治县
博尔塔拉蒙古自治州精河县公安局	新疆维吾尔自治区博尔塔拉蒙古自治州精河县
博尔塔拉蒙古自治州博乐市公安局	新疆维吾尔自治区博尔塔拉蒙古自治州博乐市
博尔塔拉蒙古自治州温泉县公安局	新疆维吾尔自治区博尔塔拉蒙古自治州温泉县
博尔塔拉蒙古自治州阿拉山口市公安局	新疆维吾尔自治区博尔塔拉蒙古自治州阿拉山口市
克孜勒苏柯尔克孜自治州阿图什市公安局	新疆维吾尔自治区克孜勒苏柯尔克孜自治州阿图什市
克孜勒苏柯尔克孜自治州阿克陶县公安局	新疆维吾尔自治区克孜勒苏柯尔克孜自治州阿克陶县
克孜勒苏柯尔克孜自治州阿合奇县公安局	新疆维吾尔自治区克孜勒苏柯尔克孜自治州阿合奇县
克孜勒苏柯尔克孜自治州乌恰县公安局	新疆维吾尔自治区克孜勒苏柯尔克孜自治州乌恰县
阿勒泰地区福海县公安局	新疆维吾尔自治区阿勒泰地区福海县
阿勒泰地区哈巴河县公安局	新疆维吾尔自治区阿勒泰地区哈巴河县
阿勒泰地区青河县公安局	新疆维吾尔自治区阿勒泰地区青河县
阿勒泰地区富蕴县公安局	新疆维吾尔自治区阿勒泰地区富蕴县
阿勒泰地区布尔津县公安局	新疆维吾尔自治区阿勒泰地区布尔津县
阿勒泰地区阿勒泰市公安局	新疆维吾尔自治区阿勒泰地区阿勒泰市
阿勒泰地区吉木乃县公安局	新疆维吾尔自治区阿勒泰地区吉木乃县
吐鲁番市高昌区公安局	新疆维吾尔自治区吐鲁番市高昌区
吐鲁番市托克逊县公安局	新疆维吾尔自治区吐鲁番市托克逊县
吐鲁番市鄯善县公安局	新疆维吾尔自治区吐鲁番市鄯善县
乌鲁木齐市沙依巴克区公安局	新疆维吾尔自治区乌鲁木齐市沙依巴克区
乌鲁木齐市达坂城区公安局	新疆维吾尔自治区乌鲁木齐市达坂城区
乌鲁木齐市天山区公安局	新疆维吾尔自治区乌鲁木齐市天山区
乌鲁木齐市水磨沟区公安局	新疆维吾尔自治区乌鲁木齐市水磨沟区
乌鲁木齐市新市区公安局	新疆维吾尔自治区乌鲁木齐市新市区
乌鲁木齐市米东区公安局	新疆维吾尔自治区乌鲁木齐市米东区
乌鲁木齐市头屯河区公安局	新疆维吾尔自治区乌鲁木齐市头屯河区
乌鲁木齐市乌鲁木齐经济技术开发区公安局	新疆维吾尔自治区乌鲁木齐市乌鲁木齐经济技术开发区
乌鲁木齐市乌鲁木齐高新技术产业开发区公安局	新疆维吾尔自治区乌鲁木齐市乌鲁木齐高新技术产业开发区
乌鲁木齐市乌鲁木齐县公安局	新疆维吾尔自治区乌鲁木齐市乌鲁木齐县
阿克苏地区阿克苏市公安局	新疆维吾尔自治区阿克苏地区阿克苏市
阿克苏地区温宿县公安局	新疆维吾尔自治区阿克苏地区温宿县
阿克苏地区拜城县公安局	新疆维吾尔自治区阿克苏地区拜城县
阿克苏地区乌什县公安局	新疆维吾尔自治区阿克苏地区乌什县
阿克苏地区库车县公安局	新疆维吾尔自治区阿克苏地区库车县
阿克苏地区柯坪县公安局	新疆维吾尔自治区阿克苏地区柯坪县
阿克苏地区新和县公安局	新疆维吾尔自治区阿克苏地区新和县
阿克苏地区阿瓦提县公安局	新疆维吾尔自治区阿克苏地区阿瓦提县
阿克苏地区沙雅县公安局	新疆维吾尔自治区阿克苏地区沙雅县
哈密市伊吾县公安局	新疆维吾尔自治区哈密市伊吾县
哈密市伊州区公安局	新疆维吾尔自治区哈密市伊州区
哈密市巴里坤哈萨克自治县公安局	新疆维吾尔自治区哈密市巴里坤哈萨克自治县
塔城地区额敏县公安局	新疆维吾尔自治区塔城地区额敏县
塔城地区裕民县公安局	新疆维吾尔自治区塔城地区裕民县
塔城地区托里县公安局	新疆维吾尔自治区塔城地区托里县
塔城地区和布克赛尔蒙古自治县公安局	新疆维吾尔自治区塔城地区和布克赛尔蒙古自治县
塔城地区塔城市公安局	新疆维吾尔自治区塔城地区塔城市
塔城地区沙湾县公安局	新疆维吾尔自治区塔城地区沙湾县
衡水市饶阳县公安局	河北省衡水市饶阳县
衡水市深州市公安局	河北省衡水市深州市
衡水市枣强县公安局	河北省衡水市枣强县
衡水市武邑县公安局	河北省衡水市武邑县
衡水市衡水滨湖新区公安局	河北省衡水市衡水滨湖新区
衡水市冀州区公安局	河北省衡水市冀州区
衡水市桃城区公安局	河北省衡水市桃城区
衡水市故城县公安局	河北省衡水市故城县
衡水市安平县公安局	河北省衡水市安平县
衡水市武强县公安局	河北省衡水市武强县
衡水市景县公安局	河北省衡水市景县
衡水市阜城县公安局	河北省衡水市阜城县
衡水市河北衡水经济开发区公安局	河北省衡水市河北衡水经济开发区
邢台市任县公安局	河北省邢台市任县
邢台市南和县公安局	河北省邢台市南和县
邢台市隆尧县公安局	河北省邢台市隆尧县
邢台市新河县公安局	河北省邢台市新河县
邢台市平乡县公安局	河北省邢台市平乡县
邢台市沙河市公安局	河北省邢台市沙河市
邢台市宁晋县公安局	河北省邢台市宁晋县
邢台市桥东区公安局	河北省邢台市桥东区
邢台市邢台县公安局	河北省邢台市邢台县
邢台市巨鹿县公安局	河北省邢台市巨鹿县
邢台市内丘县公安局	河北省邢台市内丘县
邢台市临城县公安局	河北省邢台市临城县
邢台市柏乡县公安局	河北省邢台市柏乡县
邢台市威县公安局	河北省邢台市威县
邢台市清河县公安局	河北省邢台市清河县
邢台市临西县公安局	河北省邢台市临西县
邢台市桥西区公安局	河北省邢台市桥西区
邢台市河北邢台经济开发区公安局	河北省邢台市河北邢台经济开发区
邢台市广宗县公安局	河北省邢台市广宗县
邢台市南宫市公安局	河北省邢台市南宫市
唐山市迁西县公安局	河北省唐山市迁西县
唐山市丰南区公安局	河北省唐山市丰南区
唐山市河北唐山海港经济开发区公安局	河北省唐山市河北唐山海港经济开发区
唐山市路北区公安局	河北省唐山市路北区
唐山市路南区公安局	河北省唐山市路南区
唐山市乐亭县公安局	河北省唐山市乐亭县
唐山市唐山市汉沽管理区公安局	河北省唐山市唐山市汉沽管理区
唐山市滦州市公安局	河北省唐山市滦州市
唐山市丰润区公安局	河北省唐山市丰润区
唐山市唐山高新技术产业开发区公安局	河北省唐山市唐山高新技术产业开发区
唐山市曹妃甸区公安局	河北省唐山市曹妃甸区
唐山市开平区公安局	河北省唐山市开平区
唐山市遵化市公安局	河北省唐山市遵化市
唐山市古冶区公安局	河北省唐山市古冶区
唐山市迁安市公安局	河北省唐山市迁安市
唐山市玉田县公安局	河北省唐山市玉田县
唐山市滦南县公安局	河北省唐山市滦南县
唐山市唐山市芦台经济技术开发区公安局	河北省唐山市唐山市芦台经济技术开发区
秦皇岛市北戴河区公安局	河北省秦皇岛市北戴河区
秦皇岛市青龙满族自治县公安局	河北省秦皇岛市青龙满族自治县
秦皇岛市昌黎县公安局	河北省秦皇岛市昌黎县
秦皇岛市秦皇岛市经济技术开发区公安局	河北省秦皇岛市秦皇岛市经济技术开发区
秦皇岛市北戴河新区公安局	河北省秦皇岛市北戴河新区
秦皇岛市山海关区公安局	河北省秦皇岛市山海关区
秦皇岛市卢龙县公安局	河北省秦皇岛市卢龙县
秦皇岛市抚宁区公安局	河北省秦皇岛市抚宁区
秦皇岛市海港区公安局	河北省秦皇岛市海港区
保定市安新县公安局	河北省保定市安新县
保定市顺平县公安局	河北省保定市顺平县
保定市保定高新技术产业开发区公安局	河北省保定市保定高新技术产业开发区
保定市涞源县公安局	河北省保定市涞源县
保定市涞水县公安局	河北省保定市涞水县
保定市涿州市公安局	河北省保定市涿州市
保定市定兴县公安局	河北省保定市定兴县
保定市定州市公安局	河北省保定市定州市
保定市唐县公安局	河北省保定市唐县
保定市高碑店市公安局	河北省保定市高碑店市
保定市望都县公安局	河北省保定市望都县
保定市徐水区公安局	河北省保定市徐水区
保定市莲池区公安局	河北省保定市莲池区
保定市博野县公安局	河北省保定市博野县
保定市满城区公安局	河北省保定市满城区
保定市蠡县公安局	河北省保定市蠡县
保定市容城县公安局	河北省保定市容城县
保定市易县公安局	河北省保定市易县
保定市安国市公安局	河北省保定市安国市
保定市清苑区公安局	河北省保定市清苑区
保定市阜平县公安局	河北省保定市阜平县
保定市雄县公安局	河北省保定市雄县
保定市曲阳县公安局	河北省保定市曲阳县
保定市高阳县公安局	河北省保定市高阳县
保定市保定白沟新城公安局	河北省保定市保定白沟新城
保定市竞秀区公安局	河北省保定市竞秀区
承德市隆化县公安局	河北省承德市隆化县
承德市承德高新技术产业开发区公安局	河北省承德市承德高新技术产业开发区
承德市平泉市公安局	河北省承德市平泉市
承德市鹰手营子矿区公安局	河北省承德市鹰手营子矿区
承德市承德县公安局	河北省承德市承德县
承德市围场满族蒙古族自治县公安局	河北省承德市围场满族蒙古族自治县
承德市双滦区公安局	河北省承德市双滦区
承德市滦平县公安局	河北省承德市滦平县
承德市兴隆县公安局	河北省承德市兴隆县
承德市双桥区公安局	河北省承德市双桥区
承德市宽城满族自治县公安局	河北省承德市宽城满族自治县
承德市丰宁满族自治县公安局	河北省承德市丰宁满族自治县
张家口市下花园区公安局	河北省张家口市下花园区
张家口市张家口市塞北管理区公安局	河北省张家口市张家口市塞北管理区
张家口市张北县公安局	河北省张家口市张北县
张家口市怀来县公安局	河北省张家口市怀来县
张家口市万全区公安局	河北省张家口市万全区
张家口市崇礼区公安局	河北省张家口市崇礼区
张家口市康保县公安局	河北省张家口市康保县
张家口市蔚县公安局	河北省张家口市蔚县
张家口市怀安县公安局	河北省张家口市怀安县
张家口市张家口市高新技术产业开发区公安局	河北省张家口市张家口市高新技术产业开发区
张家口市宣化区公安局	河北省张家口市宣化区
张家口市赤城县公安局	河北省张家口市赤城县
张家口市张家口市察北管理区公安局	河北省张家口市张家口市察北管理区
张家口市尚义县公安局	河北省张家口市尚义县
张家口市涿鹿县公安局	河北省张家口市涿鹿县
张家口市桥西区公安局	河北省张家口市桥西区
张家口市桥东区公安局	河北省张家口市桥东区
张家口市阳原县公安局	河北省张家口市阳原县
张家口市沽源县公安局	河北省张家口市沽源县
邯郸市永年区公安局	河北省邯郸市永年区
邯郸市肥乡区公安局	河北省邯郸市肥乡区
邯郸市馆陶县公安局	河北省邯郸市馆陶县
邯郸市丛台区公安局	河北省邯郸市丛台区
邯郸市成安县公安局	河北省邯郸市成安县
邯郸市邱县公安局	河北省邯郸市邱县
邯郸市魏县公安局	河北省邯郸市魏县
邯郸市临漳县公安局	河北省邯郸市临漳县
邯郸市磁县公安局	河北省邯郸市磁县
邯郸市曲周县公安局	河北省邯郸市曲周县
邯郸市鸡泽县公安局	河北省邯郸市鸡泽县
邯郸市邯山区公安局	河北省邯郸市邯山区
邯郸市涉县公安局	河北省邯郸市涉县
邯郸市广平县公安局	河北省邯郸市广平县
邯郸市峰峰矿区公安局	河北省邯郸市峰峰矿区
邯郸市邯郸冀南新区公安局	河北省邯郸市邯郸冀南新区
邯郸市大名县公安局	河北省邯郸市大名县
邯郸市武安市公安局	河北省邯郸市武安市
邯郸市复兴区公安局	河北省邯郸市复兴区
邯郸市邯郸经济技术开发区公安局	河北省邯郸市邯郸经济技术开发区
石家庄市井陉县公安局	河北省石家庄市井陉县
石家庄市藁城区公安局	河北省石家庄市藁城区
石家庄市裕华区公安局	河北省石家庄市裕华区
石家庄市平山县公安局	河北省石家庄市平山县
石家庄市灵寿县公安局	河北省石家庄市灵寿县
石家庄市赵县公安局	河北省石家庄市赵县
石家庄市石家庄高新技术产业开发区公安局	河北省石家庄市石家庄高新技术产业开发区
石家庄市井陉矿区公安局	河北省石家庄市井陉矿区
石家庄市新乐市公安局	河北省石家庄市新乐市
石家庄市鹿泉区公安局	河北省石家庄市鹿泉区
石家庄市栾城区公安局	河北省石家庄市栾城区
石家庄市长安区公安局	河北省石家庄市长安区
石家庄市辛集市公安局	河北省石家庄市辛集市
石家庄市晋州市公安局	河北省石家庄市晋州市
石家庄市石家庄循环化工园区公安局	河北省石家庄市石家庄循环化工园区
石家庄市深泽县公安局	河北省石家庄市深泽县
石家庄市桥西区公安局	河北省石家庄市桥西区
石家庄市正定县公安局	河北省石家庄市正定县
石家庄市新华区公安局	河北省石家庄市新华区
石家庄市赞皇县公安局	河北省石家庄市赞皇县
石家庄市无极县公安局	河北省石家庄市无极县
石家庄市元氏县公安局	河北省石家庄市元氏县
石家庄市高邑县公安局	河北省石家庄市高邑县
石家庄市行唐县公安局	河北省石家庄市行唐县
沧州市河北沧州经济开发区公安局	河北省沧州市河北沧州经济开发区
沧州市运河区公安局	河北省沧州市运河区
沧州市青县公安局	河北省沧州市青县
沧州市河间市公安局	河北省沧州市河间市
沧州市孟村回族自治县公安局	河北省沧州市孟村回族自治县
沧州市黄骅市公安局	河北省沧州市黄骅市
沧州市东光县公安局	河北省沧州市东光县
沧州市沧县公安局	河北省沧州市沧县
沧州市沧州高新技术产业开发区公安局	河北省沧州市沧州高新技术产业开发区
沧州市新华区公安局	河北省沧州市新华区
沧州市泊头市公安局	河北省沧州市泊头市
沧州市盐山县公安局	河北省沧州市盐山县
沧州市南皮县公安局	河北省沧州市南皮县
沧州市献县公安局	河北省沧州市献县
沧州市沧州渤海新区公安局	河北省沧州市沧州渤海新区
沧州市肃宁县公安局	河北省沧州市肃宁县
沧州市任丘市公安局	河北省沧州市任丘市
沧州市吴桥县公安局	河北省沧州市吴桥县
沧州市海兴县公安局	河北省沧州市海兴县
廊坊市安次区公安局	河北省廊坊市安次区
廊坊市广阳区公安局	河北省廊坊市广阳区
廊坊市文安县公安局	河北省廊坊市文安县
廊坊市三河市公安局	河北省廊坊市三河市
廊坊市大城县公安局	河北省廊坊市大城县
廊坊市香河县公安局	河北省廊坊市香河县
廊坊市霸州市公安局	河北省廊坊市霸州市
廊坊市永清县公安局	河北省廊坊市永清县
廊坊市大厂回族自治县公安局	河北省廊坊市大厂回族自治县
廊坊市固安县公安局	河北省廊坊市固安县
廊坊市廊坊经济技术开发区公安局	河北省廊坊市廊坊经济技术开发区
通化市辉南县公安局	吉林省通化市辉南县
通化市东昌区公安局	吉林省通化市东昌区
通化市二道江区公安局	吉林省通化市二道江区
通化市通化县公安局	吉林省通化市通化县
通化市梅河口市公安局	吉林省通化市梅河口市
通化市集安市公安局	吉林省通化市集安市
通化市柳河县公安局	吉林省通化市柳河县
延边朝鲜族自治州敦化市公安局	吉林省延边朝鲜族自治州敦化市
延边朝鲜族自治州图们市公安局	吉林省延边朝鲜族自治州图们市
延边朝鲜族自治州延吉市公安局	吉林省延边朝鲜族自治州延吉市
白山市长白朝鲜族自治县公安局	吉林省白山市长白朝鲜族自治县
白山市抚松县公安局	吉林省白山市抚松县
白山市江源区公安局	吉林省白山市江源区
白山市靖宇县公安局	吉林省白山市靖宇县
白山市临江市公安局	吉林省白山市临江市
白山市浑江区公安局	吉林省白山市浑江区
长春市九台区公安局	吉林省长春市九台区
长春市长春高新技术产业开发区公安局	吉林省长春市长春高新技术产业开发区
长春市长春汽车经济技术开发区公安局	吉林省长春市长春汽车经济技术开发区
长春市绿园区公安局	吉林省长春市绿园区
长春市德惠市公安局	吉林省长春市德惠市
长春市南关区公安局	吉林省长春市南关区
长春市榆树市公安局	吉林省长春市榆树市
长春市农安县公安局	吉林省长春市农安县
长春市朝阳区公安局	吉林省长春市朝阳区
长春市二道区公安局	吉林省长春市二道区
长春市长春经济技术开发区公安局	吉林省长春市长春经济技术开发区
长春市宽城区公安局	吉林省长春市宽城区
长春市双阳区公安局	吉林省长春市双阳区
长春市长春净月高新技术产业开发区公安局	吉林省长春市长春净月高新技术产业开发区
松原市乾安县公安局	吉林省松原市乾安县
松原市前郭尔罗斯蒙古族自治县公安局	吉林省松原市前郭尔罗斯蒙古族自治县
松原市吉林松原经济开发区公安局	吉林省松原市吉林松原经济开发区
松原市长岭县公安局	吉林省松原市长岭县
松原市宁江区公安局	吉林省松原市宁江区
松原市扶余市公安局	吉林省松原市扶余市
四平市双辽市公安局	吉林省四平市双辽市
四平市铁东区公安局	吉林省四平市铁东区
四平市梨树县公安局	吉林省四平市梨树县
四平市铁西区公安局	吉林省四平市铁西区
四平市公主岭市公安局	吉林省四平市公主岭市
四平市伊通满族自治县公安局	吉林省四平市伊通满族自治县
玉溪市通海县公安局	云南省玉溪市通海县
玉溪市新平彝族傣族自治县公安局	云南省玉溪市新平彝族傣族自治县
玉溪市澄江县公安局	云南省玉溪市澄江县
玉溪市江川区公安局	云南省玉溪市江川区
玉溪市易门县公安局	云南省玉溪市易门县
玉溪市峨山彝族自治县公安局	云南省玉溪市峨山彝族自治县
玉溪市华宁县公安局	云南省玉溪市华宁县
玉溪市红塔区公安局	云南省玉溪市红塔区
玉溪市元江哈尼族彝族傣族自治县公安局	云南省玉溪市元江哈尼族彝族傣族自治县
昭通市巧家县公安局	云南省昭通市巧家县
昭通市镇雄县公安局	云南省昭通市镇雄县
昭通市鲁甸县公安局	云南省昭通市鲁甸县
昭通市彝良县公安局	云南省昭通市彝良县
昭通市盐津县公安局	云南省昭通市盐津县
昭通市永善县公安局	云南省昭通市永善县
昭通市昭阳区公安局	云南省昭通市昭阳区
昭通市威信县公安局	云南省昭通市威信县
昭通市水富市公安局	云南省昭通市水富市
昭通市大关县公安局	云南省昭通市大关县
昭通市绥江县公安局	云南省昭通市绥江县
德宏傣族景颇族自治州瑞丽市公安局	云南省德宏傣族景颇族自治州瑞丽市
德宏傣族景颇族自治州芒市公安局	云南省德宏傣族景颇族自治州芒市
德宏傣族景颇族自治州陇川县公安局	云南省德宏傣族景颇族自治州陇川县
德宏傣族景颇族自治州梁河县公安局	云南省德宏傣族景颇族自治州梁河县
德宏傣族景颇族自治州盈江县公安局	云南省德宏傣族景颇族自治州盈江县
迪庆藏族自治州香格里拉市公安局	云南省迪庆藏族自治州香格里拉市
迪庆藏族自治州德钦县公安局	云南省迪庆藏族自治州德钦县
迪庆藏族自治州维西傈僳族自治县公安局	云南省迪庆藏族自治州维西傈僳族自治县
临沧市临翔区公安局	云南省临沧市临翔区
临沧市耿马傣族佤族自治县公安局	云南省临沧市耿马傣族佤族自治县
临沧市凤庆县公安局	云南省临沧市凤庆县
临沧市云县公安局	云南省临沧市云县
临沧市镇康县公安局	云南省临沧市镇康县
临沧市沧源佤族自治县公安局	云南省临沧市沧源佤族自治县
临沧市永德县公安局	云南省临沧市永德县
临沧市双江拉祜族佤族布朗族傣族自治县公安局	云南省临沧市双江拉祜族佤族布朗族傣族自治县
普洱市镇沅彝族哈尼族拉祜族自治县公安局	云南省普洱市镇沅彝族哈尼族拉祜族自治县
普洱市景谷傣族彝族自治县公安局	云南省普洱市景谷傣族彝族自治县
普洱市澜沧拉祜族自治县公安局	云南省普洱市澜沧拉祜族自治县
普洱市江城哈尼族彝族自治县公安局	云南省普洱市江城哈尼族彝族自治县
普洱市孟连傣族拉祜族佤族自治县公安局	云南省普洱市孟连傣族拉祜族佤族自治县
普洱市景东彝族自治县公安局	云南省普洱市景东彝族自治县
普洱市思茅区公安局	云南省普洱市思茅区
普洱市墨江哈尼族自治县公安局	云南省普洱市墨江哈尼族自治县
普洱市西盟佤族自治县公安局	云南省普洱市西盟佤族自治县
普洱市宁洱哈尼族彝族自治县公安局	云南省普洱市宁洱哈尼族彝族自治县
大理白族自治州剑川县公安局	云南省大理白族自治州剑川县
大理白族自治州宾川县公安局	云南省大理白族自治州宾川县
大理白族自治州鹤庆县公安局	云南省大理白族自治州鹤庆县
大理白族自治州大理市公安局	云南省大理白族自治州大理市
大理白族自治州洱源县公安局	云南省大理白族自治州洱源县
大理白族自治州巍山彝族回族自治县公安局	云南省大理白族自治州巍山彝族回族自治县
大理白族自治州永平县公安局	云南省大理白族自治州永平县
大理白族自治州弥渡县公安局	云南省大理白族自治州弥渡县
大理白族自治州漾濞彝族自治县公安局	云南省大理白族自治州漾濞彝族自治县
大理白族自治州祥云县公安局	云南省大理白族自治州祥云县
大理白族自治州南涧彝族自治县公安局	云南省大理白族自治州南涧彝族自治县
大理白族自治州云龙县公安局	云南省大理白族自治州云龙县
文山壮族苗族自治州麻栗坡县公安局	云南省文山壮族苗族自治州麻栗坡县
文山壮族苗族自治州文山市公安局	云南省文山壮族苗族自治州文山市
文山壮族苗族自治州马关县公安局	云南省文山壮族苗族自治州马关县
文山壮族苗族自治州丘北县公安局	云南省文山壮族苗族自治州丘北县
文山壮族苗族自治州广南县公安局	云南省文山壮族苗族自治州广南县
文山壮族苗族自治州富宁县公安局	云南省文山壮族苗族自治州富宁县
文山壮族苗族自治州砚山县公安局	云南省文山壮族苗族自治州砚山县
文山壮族苗族自治州西畴县公安局	云南省文山壮族苗族自治州西畴县
楚雄彝族自治州南华县公安局	云南省楚雄彝族自治州南华县
楚雄彝族自治州永仁县公安局	云南省楚雄彝族自治州永仁县
楚雄彝族自治州元谋县公安局	云南省楚雄彝族自治州元谋县
楚雄彝族自治州武定县公安局	云南省楚雄彝族自治州武定县
楚雄彝族自治州楚雄市公安局	云南省楚雄彝族自治州楚雄市
楚雄彝族自治州禄丰县公安局	云南省楚雄彝族自治州禄丰县
楚雄彝族自治州姚安县公安局	云南省楚雄彝族自治州姚安县
楚雄彝族自治州牟定县公安局	云南省楚雄彝族自治州牟定县
楚雄彝族自治州大姚县公安局	云南省楚雄彝族自治州大姚县
楚雄彝族自治州双柏县公安局	云南省楚雄彝族自治州双柏县
丽江市宁蒗彝族自治县公安局	云南省丽江市宁蒗彝族自治县
丽江市古城区公安局	云南省丽江市古城区
丽江市华坪县公安局	云南省丽江市华坪县
丽江市玉龙纳西族自治县公安局	云南省丽江市玉龙纳西族自治县
丽江市永胜县公安局	云南省丽江市永胜县
曲靖市沾益区公安局	云南省曲靖市沾益区
曲靖市宣威市公安局	云南省曲靖市宣威市
曲靖市马龙区公安局	云南省曲靖市马龙区
曲靖市师宗县公安局	云南省曲靖市师宗县
曲靖市罗平县公安局	云南省曲靖市罗平县
曲靖市麒麟区公安局	云南省曲靖市麒麟区
曲靖市富源县公安局	云南省曲靖市富源县
和田地区策勒县公安局	新疆维吾尔自治区和田地区策勒县
和田地区墨玉县公安局	新疆维吾尔自治区和田地区墨玉县
和田地区皮山县公安局	新疆维吾尔自治区和田地区皮山县
和田地区和田县公安局	新疆维吾尔自治区和田地区和田县
和田地区和田市公安局	新疆维吾尔自治区和田地区和田市
和田地区洛浦县公安局	新疆维吾尔自治区和田地区洛浦县
和田地区于田县公安局	新疆维吾尔自治区和田地区于田县
和田地区民丰县公安局	新疆维吾尔自治区和田地区民丰县
自治区直辖县级行政区划图木舒克市公安局	新疆维吾尔自治区自治区直辖县级行政区划图木舒克市
自治区直辖县级行政区划阿拉尔市公安局	新疆维吾尔自治区自治区直辖县级行政区划阿拉尔市
自治区直辖县级行政区划铁门关市公安局	新疆维吾尔自治区自治区直辖县级行政区划铁门关市
自治区直辖县级行政区划五家渠市公安局	新疆维吾尔自治区自治区直辖县级行政区划五家渠市
自治区直辖县级行政区划石河子市公安局	新疆维吾尔自治区自治区直辖县级行政区划石河子市
喀什地区莎车县公安局	新疆维吾尔自治区喀什地区莎车县
喀什地区伽师县公安局	新疆维吾尔自治区喀什地区伽师县
喀什地区喀什市公安局	新疆维吾尔自治区喀什地区喀什市
喀什地区英吉沙县公安局	新疆维吾尔自治区喀什地区英吉沙县
喀什地区疏附县公安局	新疆维吾尔自治区喀什地区疏附县
喀什地区岳普湖县公安局	新疆维吾尔自治区喀什地区岳普湖县
喀什地区叶城县公安局	新疆维吾尔自治区喀什地区叶城县
海口市琼山区公安局	海南省海口市琼山区
海口市美兰区公安局	海南省海口市美兰区
海口市秀英区公安局	海南省海口市秀英区
海口市龙华区公安局	海南省海口市龙华区
市辖区密云区公安局	北京市市辖区密云区
市辖区西城区公安局	北京市市辖区西城区
市辖区东城区公安局	北京市市辖区东城区
市辖区门头沟区公安局	北京市市辖区门头沟区
市辖区海淀区公安局	北京市市辖区海淀区
市辖区房山区公安局	北京市市辖区房山区
市辖区昌平区公安局	北京市市辖区昌平区
市辖区延庆区公安局	北京市市辖区延庆区
市辖区石景山区公安局	北京市市辖区石景山区
市辖区顺义区公安局	北京市市辖区顺义区
市辖区大兴区公安局	北京市市辖区大兴区
市辖区平谷区公安局	北京市市辖区平谷区
市辖区通州区公安局	北京市市辖区通州区
市辖区朝阳区公安局	北京市市辖区朝阳区
市辖区丰台区公安局	北京市市辖区丰台区
